ts_utc,game_id,game_name,viewers,channels,avg_viewers,median_viewers,top1_viewers,top1_share,viewers_hors_top3,channels_hors_top3,avg_hors_top3,channels_lt10
2026-09-02T00:32:17+00:00,32982,Grand Theft Auto V,28408,261,108.8,5,12667,0.446,12673,258,49.1,168
2026-09-02T00:32:17+00:00,509658,Just Chatting,16193,131,123.6,9,5343,0.33,5267,128,41.1,68
2026-09-02T00:32:17+00:00,516575,VALORANT,4911,197,24.9,2,2744,0.559,1576,194,8.1,168
2026-09-02T00:32:17+00:00,21779,League of Legends,4225,97,43.6,3,1047,0.248,2013,94,21.4,74
2026-09-02T00:32:17+00:00,1763263,nanos world,3649,36,101.4,3.5,1915,0.525,782,33,23.7,20
2026-09-02T00:32:17+00:00,512710,Call of Duty: Warzone,2965,44,67.4,1.0,1544,0.521,505,41,12.3,36
2026-09-02T00:32:17+00:00,30921,Rocket League,2404,46,52.3,1.0,2318,0.964,61,43,1.4,44
2026-09-02T00:32:17+00:00,499973,Always On,1848,21,88.0,5,1156,0.626,284,18,15.8,13
2026-09-02T00:32:17+00:00,570615518,Resonance: A Plague Tale Legacy,1656,14,118.3,2.0,1594,0.963,19,11,1.7,12
2026-09-02T00:32:17+00:00,236673708,Iron Blight,987,1,987.0,987,987,1.0,0,0,0,0
2026-09-02T00:32:17+00:00,33214,Fortnite,976,109,9.0,1,366,0.375,315,106,3.0,101
2026-09-02T00:32:17+00:00,674491029,Star Wars Zero Company,749,10,74.9,3.0,631,0.842,15,7,2.1,7
2026-09-02T00:32:17+00:00,1478650472,Call of Duty: Modern Warfare 4,684,30,22.8,1.5,424,0.62,124,27,4.6,24
2026-09-02T00:32:17+00:00,17828,The Legend of Zelda: Twilight Princess,658,2,329.0,329.0,648,0.985,0,0,0,0
2026-09-02T00:32:17+00:00,513143,Teamfight Tactics,642,19,33.8,6,330,0.514,87,16,5.4,13
2026-09-02T00:32:17+00:00,491487,Dead by Daylight,628,36,17.4,7.5,139,0.221,338,33,10.2,20
2026-09-02T00:32:17+00:00,27471,Minecraft,614,58,10.6,2.0,183,0.298,246,55,4.5,50
2026-09-02T00:32:17+00:00,498566,Slots,513,4,128.2,121.0,239,0.466,32,1,32.0,0
2026-09-02T00:32:17+00:00,18846,Garry's Mod,435,17,25.6,2,159,0.366,131,14,9.4,11
2026-09-02T00:32:17+00:00,624536948,EA Sports FC 26,429,51,8.4,1,143,0.333,140,48,2.9,46
2026-09-02T00:32:17+00:00,138585,Hearthstone,415,9,46.1,2,386,0.93,9,6,1.5,7
2026-09-02T00:32:17+00:00,18122,World of Warcraft,403,43,9.4,3,100,0.248,227,40,5.7,31
2026-09-02T00:32:17+00:00,20596,Dofus,401,19,21.1,11,76,0.19,195,16,12.2,9
2026-09-02T00:32:17+00:00,498592,I'm Only Sleeping,373,5,74.6,6,330,0.885,7,2,3.5,3
2026-09-02T00:32:17+00:00,493959,Red Dead Redemption II,336,24,14.0,3.5,167,0.497,115,21,5.5,16
2026-09-02T00:32:17+00:00,1050003477,The Elder Scrolls V: Skyrim - Special Edition,305,16,19.1,5.0,128,0.42,84,13,6.5,10
2026-09-02T00:32:17+00:00,515025,Overwatch,296,27,11.0,3,183,0.618,78,24,3.2,24
2026-09-02T00:32:17+00:00,509672,IRL,280,7,40.0,1,195,0.696,4,4,1.0,5
2026-09-02T00:32:17+00:00,602040818,NBA 2K27,249,18,13.8,2.0,181,0.727,31,15,2.1,15
2026-09-02T00:32:17+00:00,491931,Escape from Tarkov,228,17,13.4,2,174,0.763,31,14,2.2,14
2026-09-02T00:32:17+00:00,123710355,DRAGON QUEST VII Reimagined,222,1,222.0,222,222,1.0,0,0,0,0
2026-09-02T00:32:17+00:00,506456,Satisfactory,221,2,110.5,110.5,208,0.941,0,0,0,0
2026-09-02T00:32:17+00:00,490377,Sea of Thieves,214,8,26.8,3.5,182,0.85,11,5,2.2,6
2026-09-02T00:32:17+00:00,31339,Project Zomboid,212,18,11.8,5.0,69,0.325,76,15,5.1,12
2026-09-02T00:32:17+00:00,518584827,NHL 27,211,1,211.0,211,211,1.0,0,0,0,0
2026-09-02T00:32:17+00:00,498417,Vintage Story,211,1,211.0,211,211,1.0,0,0,0,0
2026-09-02T00:32:17+00:00,511224,Apex Legends,209,32,6.5,1.0,94,0.45,54,29,1.9,30
2026-09-02T00:32:17+00:00,32399,Counter-Strike,202,25,8.1,2,63,0.312,48,22,2.2,22
2026-09-02T00:32:17+00:00,65632,DayZ,201,12,16.8,2.0,152,0.756,20,9,2.2,9
2026-09-02T00:32:17+00:00,509663,Special Events,197,5,39.4,18,144,0.731,3,2,1.5,2
2026-09-02T00:32:17+00:00,417752,Talk Shows & Podcasts,197,6,32.8,22.0,104,0.528,14,3,4.7,2
2026-09-02T00:32:17+00:00,489401,Call of Duty: Black Ops III,193,4,48.2,0.5,192,0.995,0,1,0.0,3
2026-09-02T00:32:17+00:00,2692,Super Mario 64,172,4,43.0,5.0,161,0.936,1,1,1.0,3
2026-09-02T00:32:17+00:00,543818421,Breathedge 2,171,2,85.5,85.5,117,0.684,0,0,0,0
2026-09-02T00:32:17+00:00,1441208453,Once Human,170,46,3.7,1.0,22,0.129,121,43,2.8,40
2026-09-02T00:32:17+00:00,509660,Art,153,12,12.8,10.0,48,0.314,56,9,6.2,5
2026-09-02T00:32:17+00:00,512953,ELDEN RING,133,21,6.3,2,39,0.293,45,18,2.5,17
2026-09-02T00:32:17+00:00,489111,Summoners War: Sky Arena,121,1,121.0,121,121,1.0,0,0,0,0
2026-09-02T00:32:17+00:00,491572,Stellaris,120,1,120.0,120,120,1.0,0,0,0,0
2026-09-02T00:32:17+00:00,2013539540,Blue Prince,120,2,60.0,60.0,120,1.0,0,0,0,1
2026-09-02T00:32:17+00:00,493057,PUBG: BATTLEGROUNDS,114,3,38.0,23,90,0.789,0,0,0,1
2026-09-02T00:32:17+00:00,1036710512,Palworld,113,19,5.9,2,20,0.177,61,16,3.8,13
2026-09-02T00:32:17+00:00,417892,Z1: Battle Royale,110,4,27.5,9.5,90,0.818,1,1,1.0,2
2026-09-02T00:32:17+00:00,417528,Albion Online,106,8,13.2,8.5,53,0.5,25,5,5.0,5
2026-09-02T00:32:17+00:00,1669431183,DJs,105,8,13.1,13.5,32,0.305,43,5,8.6,3
2026-09-02T05:04:53+00:00,21779,League of Legends,2495,25,99.8,7,793,0.318,749,22,34.0,13
2026-09-02T05:04:53+00:00,509658,Just Chatting,2219,45,49.3,11,616,0.278,910,42,21.7,19
2026-09-02T05:04:53+00:00,18122,World of Warcraft,1607,14,114.8,4.0,1202,0.748,73,11,6.6,8
2026-09-02T05:04:53+00:00,1217150241,Crimson Moon,1426,3,475.3,2,1423,0.998,0,0,0,2
2026-09-02T05:04:53+00:00,499973,Always On,1349,20,67.5,9.0,556,0.412,247,17,14.5,10
2026-09-02T05:04:53+00:00,32982,Grand Theft Auto V,936,30,31.2,7.0,214,0.229,479,27,17.7,16
2026-09-02T05:04:53+00:00,498566,Slots,529,4,132.2,121.5,262,0.495,24,1,24.0,0
2026-09-02T05:04:53+00:00,417752,Talk Shows & Podcasts,472,5,94.4,6,399,0.845,2,2,1.0,3
2026-09-02T05:04:53+00:00,624536948,EA Sports FC 26,347,9,38.6,2,253,0.729,9,6,1.5,7
2026-09-02T05:04:53+00:00,1858873462,Obey the Voice,312,1,312.0,312,312,1.0,0,0,0,0
2026-09-02T05:04:53+00:00,138585,Hearthstone,284,2,142.0,142.0,284,1.0,0,0,0,1
2026-09-02T05:04:53+00:00,498592,I'm Only Sleeping,253,9,28.1,5,173,0.684,25,6,4.2,5
2026-09-02T05:04:53+00:00,459064,Cuphead,237,1,237.0,237,237,1.0,0,0,0,0
2026-09-02T05:04:53+00:00,490377,Sea of Thieves,230,2,115.0,115.0,145,0.63,0,0,0,0
2026-09-02T05:04:53+00:00,2692,Super Mario 64,217,3,72.3,6,209,0.963,0,0,0,2
2026-09-02T05:04:53+00:00,33214,Fortnite,209,25,8.4,1,111,0.531,50,22,2.3,21
2026-09-02T05:04:53+00:00,20596,Dofus,209,6,34.8,36.0,59,0.282,48,3,16.0,1
2026-09-02T05:04:53+00:00,509672,IRL,204,8,25.5,12.5,97,0.475,29,5,5.8,4
2026-09-02T05:04:53+00:00,1478650472,Call of Duty: Modern Warfare 4,194,12,16.2,3.0,105,0.541,24,9,2.7,9
2026-09-02T05:04:53+00:00,513143,Teamfight Tactics,183,7,26.1,4,100,0.546,6,4,1.5,4
2026-09-02T05:04:53+00:00,516575,VALORANT,181,28,6.5,2.5,70,0.387,75,25,3.0,24
2026-09-02T05:04:53+00:00,1967084783,Marvel's Spider-Man 2,166,2,83.0,83.0,165,0.994,0,0,0,1
2026-09-02T05:04:53+00:00,26476,TERA,165,3,55.0,8,156,0.945,0,0,0,2
2026-09-02T05:04:53+00:00,491487,Dead by Daylight,143,8,17.9,5.5,96,0.671,16,5,3.2,5
2026-09-02T05:04:53+00:00,674491029,Star Wars Zero Company,138,1,138.0,138,138,1.0,0,0,0,0
2026-09-02T05:04:53+00:00,2013539540,Blue Prince,138,2,69.0,69.0,127,0.92,0,0,0,0
2026-09-02T05:04:53+00:00,1832841853,Mortal Shell II,132,6,22.0,1.5,118,0.894,1,3,0.3,4
2026-09-02T05:04:53+00:00,417528,Albion Online,132,3,44.0,15,114,0.864,0,0,0,1
