ts_utc,lang,streams_total,viewers_total,categories_kept,duration_s
2026-08-31T19:18:49+00:00,fr,8325,279002,141,9.6
2026-08-31T23:17:25+00:00,fr,3937,150775,75,5.0
2026-09-01T01:58:00+00:00,fr,1702,54731,46,2.5
2026-09-01T07:40:41+00:00,fr,1547,38915,48,1.3
2026-09-01T12:20:21+00:00,fr,3741,103711,85,4.7
2026-09-01T16:55:16+00:00,fr,5290,186373,122,2.8
2026-09-01T19:56:13+00:00,fr,9160,293769,155,9.9
2026-09-01T22:35:57+00:00,fr,4908,170012,86,5.1
2026-09-02T00:32:17+00:00,fr,2690,85739,55,3.5
2026-09-02T05:04:53+00:00,fr,740,17925,32,1.5
2026-09-02T09:36:00+00:00,fr,2053,88780,75,1.8
2026-09-02T13:52:05+00:00,fr,4615,123605,92,4.9
2026-09-02T17:53:23+00:00,fr,4932,192031,118,7.6
2026-09-02T21:01:24+00:00,fr,8159,312083,127,10.3
2026-09-02T23:18:33+00:00,fr,3770,137491,71,4.8
2026-09-03T01:26:59+00:00,fr,1964,57643,41,1.3
2026-09-03T06:29:07+00:00,fr,907,22565,32,1.4
2026-09-03T11:42:57+00:00,fr,2570,86056,74,5.6
2026-09-03T15:14:00+00:00,fr,4370,108206,90,6.3
2026-09-03T18:52:21+00:00,fr,6449,285795,115,4.2
2026-09-03T21:41:50+00:00,fr,6767,289372,105,7.3
2026-09-03T23:32:22+00:00,fr,3425,108589,65,4.7
2026-09-04T01:21:38+00:00,fr,2081,59457,46,2.5
2026-09-04T06:32:03+00:00,fr,866,24815,36,1.2
2026-09-04T11:44:14+00:00,fr,2516,102445,65,3.3
2026-09-04T16:19:56+00:00,fr,4816,555398,76,3.0
2026-09-04T19:08:11+00:00,fr,6737,776695,98,8.6
2026-09-04T21:27:14+00:00,fr,7745,767471,90,5.1
2026-09-04T23:20:17+00:00,fr,4729,494511,65,4.4
2026-09-05T01:24:27+00:00,fr,2357,219130,47,3.6
2026-09-05T06:18:37+00:00,fr,968,94862,29,1.5
2026-09-05T10:55:31+00:00,fr,2765,581456,65,3.5
2026-09-05T13:51:18+00:00,fr,4974,641569,62,5.2
2026-09-05T16:49:27+00:00,fr,5093,795031,71,5.0
2026-09-05T19:01:26+00:00,fr,6198,718603,80,7.5
2026-09-05T21:13:11+00:00,fr,7636,830162,85,6.6
2026-09-05T23:18:34+00:00,fr,4803,620647,63,3.0
2026-09-06T01:20:05+00:00,fr,2657,244883,50,3.1
2026-09-06T06:30:05+00:00,fr,1027,78627,27,1.6
2026-09-06T11:20:57+00:00,fr,3218,602899,61,2.0
2026-09-06T14:23:56+00:00,fr,6097,697191,83,6.9
2026-09-06T17:20:46+00:00,fr,4946,970652,86,5.7
2026-09-06T19:30:43+00:00,fr,6885,1141710,96,7.6
2026-09-06T21:42:50+00:00,fr,5474,903147,72,6.5
2026-09-06T23:13:21+00:00,fr,3137,119343,59,2.0
2026-09-07T01:18:04+00:00,fr,1879,48739,40,2.8
2026-09-07T06:37:51+00:00,fr,881,21495,29,1.5
2026-09-07T13:01:13+00:00,fr,3457,81324,84,4.6
2026-09-07T18:14:53+00:00,fr,5712,204591,118,6.3
2026-09-07T21:46:08+00:00,fr,6805,217346,116,8.0
2026-09-08T00:24:02+00:00,fr,2659,87278,51,3.9
2026-09-08T05:14:22+00:00,fr,692,14511,22,1.7
2026-09-08T10:05:01+00:00,fr,2061,73301,62,3.0
2026-09-08T14:31:25+00:00,fr,4473,121213,73,5.2
2026-09-08T18:05:29+00:00,fr,5527,187231,119,3.5
2026-09-08T21:07:58+00:00,fr,7936,240486,131,6.8
2026-09-08T23:22:52+00:00,fr,3803,118334,66,2.5
2026-09-09T01:32:11+00:00,fr,1922,50497,44,3.3
2026-09-09T06:41:35+00:00,fr,959,23948,34,1.4
2026-09-09T11:54:02+00:00,fr,2962,89035,72,2.1
2026-09-09T16:36:50+00:00,fr,5403,150823,119,5.1
2026-09-09T19:29:22+00:00,fr,8815,266535,154,5.1
2026-09-09T21:57:05+00:00,fr,6372,225238,102,7.9
2026-09-10T00:13:20+00:00,fr,2874,101669,58,3.4
2026-09-10T05:17:20+00:00,fr,751,14274,23,0.7
2026-09-10T10:02:21+00:00,fr,2104,62161,70,1.4
