ts_utc,game_id,game_name,viewers,channels,avg_viewers,median_viewers,top1_viewers,top1_share,viewers_hors_top3,channels_hors_top3,avg_hors_top3,channels_lt10
2026-09-01T01:58:00+00:00,516575,VALORANT,14797,114,129.8,2.0,7105,0.48,1956,111,17.6,97
2026-09-01T01:58:00+00:00,32982,Grand Theft Auto V,8536,145,58.9,6,1220,0.143,5634,142,39.7,89
2026-09-01T01:58:00+00:00,509658,Just Chatting,5053,97,52.1,9,1490,0.295,2698,94,28.7,52
2026-09-01T01:58:00+00:00,27284,Retro,3322,8,415.2,16.5,3133,0.943,36,5,7.2,4
2026-09-01T01:58:00+00:00,30921,Rocket League,2748,23,119.5,2,2665,0.97,49,20,2.5,19
2026-09-01T01:58:00+00:00,27471,Minecraft,1736,37,46.9,3,1442,0.831,176,34,5.2,28
2026-09-01T01:58:00+00:00,509672,IRL,1698,8,212.2,11.5,1268,0.747,27,5,5.4,4
2026-09-01T01:58:00+00:00,21779,League of Legends,1486,44,33.8,3.0,475,0.32,490,41,12.0,30
2026-09-01T01:58:00+00:00,499973,Always On,1034,20,51.7,6.0,635,0.614,171,17,10.1,14
2026-09-01T01:58:00+00:00,743,Chess,705,1,705.0,705,705,1.0,0,0,0,0
2026-09-01T01:58:00+00:00,491487,Dead by Daylight,678,32,21.2,4.5,158,0.233,305,29,10.5,20
2026-09-01T01:58:00+00:00,513143,Teamfight Tactics,645,19,33.9,3,357,0.553,46,16,2.9,17
2026-09-01T01:58:00+00:00,1763263,nanos world,637,7,91.0,105,185,0.29,218,4,54.5,0
2026-09-01T01:58:00+00:00,498566,Slots,601,5,120.2,94,245,0.408,28,2,14.0,1
2026-09-01T01:58:00+00:00,33214,Fortnite,598,84,7.1,1.0,395,0.661,157,81,1.9,79
2026-09-01T01:58:00+00:00,570615518,Resonance: A Plague Tale Legacy,593,11,53.9,1,559,0.943,9,8,1.1,8
2026-09-01T01:58:00+00:00,1669431183,DJs,576,5,115.2,22,480,0.833,18,2,9.0,1
2026-09-01T01:58:00+00:00,674491029,Star Wars Zero Company,456,8,57.0,3.5,418,0.917,11,5,2.2,5
2026-09-01T01:58:00+00:00,138585,Hearthstone,345,4,86.2,3.0,338,0.98,1,1,1.0,3
2026-09-01T01:58:00+00:00,512710,Call of Duty: Warzone,315,33,9.5,2,129,0.41,135,30,4.5,24
2026-09-01T01:58:00+00:00,18846,Garry's Mod,292,4,73.0,59.0,171,0.586,3,1,3.0,1
2026-09-01T01:58:00+00:00,32399,Counter-Strike,274,15,18.3,2,152,0.555,53,12,4.4,10
2026-09-01T01:58:00+00:00,498592,I'm Only Sleeping,252,4,63.0,8.5,234,0.929,1,1,1.0,3
2026-09-01T01:58:00+00:00,1478650472,Call of Duty: Modern Warfare 4,252,20,12.6,3.5,71,0.282,78,17,4.6,15
2026-09-01T01:58:00+00:00,515025,Overwatch,232,12,19.3,6.0,150,0.647,41,9,4.6,8
2026-09-01T01:58:00+00:00,26476,TERA,229,3,76.3,16,211,0.921,0,0,0,1
2026-09-01T01:58:00+00:00,18889,FINAL FANTASY XIII,223,1,223.0,223,223,1.0,0,0,0,0
2026-09-01T01:58:00+00:00,498417,Vintage Story,219,1,219.0,219,219,1.0,0,0,0,0
2026-09-01T01:58:00+00:00,512953,ELDEN RING,184,9,20.4,5,62,0.337,38,6,6.3,5
2026-09-01T01:58:00+00:00,735904419,ARK: Survival Ascended,174,3,58.0,2,171,0.983,0,0,0,2
2026-09-01T01:58:00+00:00,1411752763,Under a Rock,167,1,167.0,167,167,1.0,0,0,0,0
2026-09-01T01:58:00+00:00,65632,DayZ,164,5,32.8,1,142,0.866,2,2,1.0,3
2026-09-01T01:58:00+00:00,624536948,EA Sports FC 26,148,22,6.7,1.0,105,0.709,30,19,1.6,21
2026-09-01T01:58:00+00:00,1441208453,Once Human,148,37,4.0,1,35,0.236,82,34,2.4,32
2026-09-01T01:58:00+00:00,496960,Assassin's Creed Origins,143,1,143.0,143,143,1.0,0,0,0,0
2026-09-01T01:58:00+00:00,18122,World of Warcraft,141,21,6.7,4,54,0.383,62,18,3.4,17
2026-09-01T01:58:00+00:00,511224,Apex Legends,130,26,5.0,2.0,64,0.492,48,23,2.1,24
2026-09-01T01:58:00+00:00,1050003477,The Elder Scrolls V: Skyrim - Special Edition,126,8,15.8,10.5,44,0.349,25,5,5.0,4
2026-09-01T01:58:00+00:00,417892,Z1: Battle Royale,122,5,24.4,4,93,0.762,5,2,2.5,3
2026-09-01T01:58:00+00:00,417752,Talk Shows & Podcasts,121,3,40.3,6,114,0.942,0,0,0,2
2026-09-01T01:58:00+00:00,20596,Dofus,120,6,20.0,22.0,43,0.358,23,3,7.7,2
2026-09-01T01:58:00+00:00,272263131,"Animals, Aquariums, and Zoos",119,5,23.8,1,115,0.966,2,2,1.0,4
2026-09-01T01:58:00+00:00,602040818,NBA 2K27,117,18,6.5,1.0,55,0.47,26,15,1.7,15
2026-09-01T01:58:00+00:00,509660,Art,105,7,15.0,3,64,0.61,8,4,2.0,5
2026-09-01T01:58:00+00:00,518007,Marvel's Spider-Man: Miles Morales,103,1,103.0,103,103,1.0,0,0,0,0
2026-09-01T01:58:00+00:00,653624902,Tomb Raider: Anniversary,101,1,101.0,101,101,1.0,0,0,0,0
